Название;Усредненные признаки;Усредненная на обучающей;Усредненная на тестовой;
banana.txt;[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5];[64.755, 65.08500000000001, 64.995, 64.91, 65.005, 64.92, 64.86500000000001, 64.805, 64.915, 64.94500000000001];[66.445, 63.56, 64.12, 64.31, 64.22, 64.81, 65.28, 65.595, 64.65, 64.64999999999999];
banana.txt;[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5];[64.755, 65.08500000000001, 64.995, 64.91, 65.005, 64.92, 64.86500000000001, 64.805, 64.915, 64.94500000000001];[66.445, 63.56, 64.12, 64.31, 64.22, 64.81, 65.28, 65.595, 64.65, 64.64999999999999];
